pclass,age,sibsp,parch,fare,sex_male,survived
2,25.0,1,0,26.0,1,0
3,25.0,1,0,7.925,0,0
1,29.0,0,0,211.3375,0,1
3,11.0,0,0,18.7875,1,0
2,35.44815777780063,0,0,0.0,1,0
2,23.0,0,0,13.0,1,0
2,23.0,0,0,13.0,1,0
3,28.5,0,0,16.1,1,0
3,48.0,1,3,34.375,0,0
1,35.0,0,0,512.3292,1,1
3,28.295293821862316,0,0,7.8958,1,0
3,28.295293821862316,0,0,7.8958,1,0
1,41.921970034777054,0,0,30.0,1,1
1,36.0,1,0,78.85,1,0
1,21.0,2,2,262.375,0,1
3,24.0,1,0,16.1,1,0
3,31.0,0,0,7.925,1,1
1,70.0,1,1,71.0,1,0
3,16.0,1,1,20.25,1,0
2,30.0,0,0,13.0,0,1
1,19.0,1,0,53.1,1,0
3,31.0,0,0,7.75,1,0
2,4.0,1,1,23.0,0,1
3,6.0,0,1,12.475,1,1
3,33.0,0,0,9.5,1,0
3,23.0,0,0,7.8958,1,0
2,48.0,1,2,65.0,0,1
2,0.67,1,1,14.5,1,1
3,28.0,0,0,7.7958,1,0
2,18.0,0,0,11.5,1,0
3,34.0,0,0,8.05,1,0
1,33.0,0,0,86.5,0,1
3,28.176953709494082,0,0,14.5,1,0
3,41.0,0,0,7.125,1,0
3,20.0,0,0,7.2292,1,1
1,36.0,1,2,120.0,0,1
3,16.0,0,0,7.775,1,0
1,51.0,1,0,77.9583,0,1
1,41.749948430535056,0,0,39.6,1,0
3,30.5,0,0,7.75,0,0
3,24.200880577216754,1,0,24.15,1,0
3,32.0,0,0,8.3625,1,0
3,24.0,0,0,9.5,1,0
3,48.0,0,0,7.8542,1,0
2,57.0,0,0,10.5,0,0
3,28.307313831458725,0,0,7.225,1,0
2,54.0,1,3,23.0,0,1
3,18.0,0,0,7.75,1,0
3,28.297906399976743,0,0,7.75,1,0
3,5.0,0,0,12.475,0,1
3,28.298130386440597,0,0,7.7375,1,0
1,43.0,0,1,211.3375,0,1
3,13.0,0,0,7.2292,0,1
1,17.0,1,0,57.0,0,1
1,29.0,0,0,30.0,1,0
3,22.669695423070902,1,2,23.45,1,0
3,25.0,0,0,7.05,1,0
3,25.0,0,0,7.25,1,0
3,18.0,0,0,7.4958,0,1
3,8.0,4,1,29.125,1,0
3,1.0,1,2,20.575,1,1
1,46.0,0,0,79.2,1,0
3,28.297906399976743,0,0,7.75,1,0
2,16.0,0,0,26.0,1,0
3,-8.021049746218708,8,2,69.55,0,0
1,41.90950205225293,0,0,30.6958,1,0
3,25.0,0,0,7.8958,1,0
2,39.0,0,0,13.0,1,0
1,49.0,0,0,25.9292,0,1
3,31.0,0,0,8.6833,0,1
3,30.0,0,0,7.2292,1,0
3,30.0,1,1,24.15,0,0
2,34.0,0,0,13.0,1,0
2,31.0,1,1,26.25,0,1
1,11.0,1,2,120.0,1,1
3,0.42,0,1,8.5167,1,1
3,27.0,0,0,6.975,1,1
3,31.0,0,0,7.775,1,0
1,39.0,0,0,0.0,1,0
3,18.0,0,0,7.775,0,0
2,39.0,0,0,13.0,1,0
1,33.0,1,0,53.1,0,1
3,26.0,0,0,7.8875,1,0
3,39.0,0,0,24.15,1,0
2,35.0,0,0,10.5,1,0
3,6.0,4,2,31.275,0,0
3,30.5,0,0,8.05,1,0
1,42.45953754803331,0,0,0.0,1,0
3,23.0,0,0,7.925,0,0
2,31.0,1,1,37.0042,1,0
3,43.0,0,0,6.45,1,0
3,10.0,3,2,27.9,1,0
1,52.0,1,1,93.5,0,1
3,27.0,0,0,8.6625,1,1
1,38.0,0,0,0.0,1,0
3,27.0,0,1,12.475,0,1
3,2.0,4,1,39.6875,1,0
3,28.312241533663574,0,0,6.95,1,0
3,27.42443445038718,0,0,56.4958,1,0
2,1.0,0,2,37.0042,1,1
3,28.297906399976743,0,0,7.75,1,1
1,62.0,0,0,80.0,0,1
3,15.0,1,0,14.4542,0,1
2,0.83,1,1,18.75,1,1
3,28.30723857200687,0,0,7.2292,1,0
3,23.0,0,0,7.8542,1,0
3,18.0,0,0,8.3,1,0
1,39.0,1,1,83.1583,0,1
3,21.0,0,0,8.6625,1,0
3,28.29253072484418,0,0,8.05,1,0
3,32.0,0,0,56.4958,1,1
1,41.927345709909616,0,0,29.7,1,1
3,20.0,0,0,7.925,1,0
2,16.0,0,0,10.5,1,0
1,30.0,0,0,31.0,0,1
3,34.5,0,0,6.4375,1,0
3,17.0,0,0,8.6625,1,0
3,42.0,0,0,7.55,1,0
3,-4.7784557308921976,8,2,69.55,1,0
3,35.0,0,0,7.8958,1,0
2,28.0,0,1,33.0,1,0
1,33.817137176703966,1,0,89.1042,0,1
3,4.0,4,2,31.275,1,0
3,74.0,0,0,7.775,1,0
3,9.0,1,1,15.2458,0,0
1,16.0,0,1,39.4,0,1
2,44.0,1,0,26.0,0,0
3,18.0,0,1,9.35,0,1
1,45.0,1,1,164.8667,0,1
1,51.0,0,0,26.55,1,1
3,24.0,0,3,19.2583,0,1
3,28.30723857200687,0,0,7.2292,1,0
3,41.0,2,0,14.1083,1,0
2,21.0,1,0,11.5,1,0
1,48.0,0,0,25.9292,0,1
3,-8.021049746218708,8,2,69.55,0,0
2,24.0,0,0,13.0,1,0
2,42.0,0,0,13.0,0,1
2,27.0,1,0,13.8583,0,1
1,31.0,0,0,50.4958,1,0
3,28.266548295036795,0,0,9.5,1,0
3,4.0,1,1,11.1333,1,1
3,26.0,0,0,7.8958,1,0
1,47.0,1,1,52.5542,0,1
1,33.0,0,0,5.0,1,0
3,47.0,0,0,9.0,1,0
2,28.0,1,0,24.0,0,1
3,15.0,0,0,7.225,0,1
3,20.0,0,0,9.8458,1,0
3,19.0,0,0,7.8958,1,0
3,28.295293821862316,0,0,7.8958,1,0
1,56.0,0,1,83.1583,0,1
2,25.0,0,1,26.0,0,1
3,33.0,0,0,7.8958,1,0
3,22.0,0,0,10.5167,0,0
2,28.0,0,0,10.5,1,0
3,25.0,0,0,7.05,1,0
3,39.0,0,5,29.125,0,0
2,27.0,0,0,13.0,1,0
1,19.0,0,0,30.0,0,1
3,19.42710140774439,1,2,23.45,0,0
1,26.0,0,0,30.0,1,1
3,32.0,0,0,7.75,1,0
